"Award","Type","Country","Year of award ceremony","Category","date_awarded","winner","source"
"Oscars","Industry","USA","2000","Best Picture","2000-03-26","American Beauty","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Picture","2001-03-25","Gladiator","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Picture","2002-03-24","A Beautiful Mind","https://en.wikipedia.org/wiki/74th_Academy_Awards"
"Oscars","Industry","USA","2003","Best Picture","2003-03-23","Chicago","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Picture","2004-02-29","The Lord of the Rings: The Return of the King","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Picture","2005-02-27","Million Dollar Baby","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Picture","2006-03-05","Crash","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Picture","2007-02-25","The Departed","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Picture","2008-02-24","No Country for Old Men","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Picture","2009-02-22","Slumdog Millionaire","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Picture","2010-03-07","The Hurt Locker","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Picture","2011-02-27","The King's Speech","https://www.oscars.org/oscars/ceremonies/2011"
"Oscars","Industry","USA","2012","Best Picture","2012-02-26","The Artist","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Picture","2013-02-24","Argo","https://en.wikipedia.org/wiki/85th_Academy_Awards"
"Oscars","Industry","USA","2014","Best Picture","2014-03-02","12 Years a Slave","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Picture","2015-02-22","Birdman or (The Unexpected Virtue of Ignorance)","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Picture","2016-02-28","Spotlight","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Picture","2017-02-26","Moonlight","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Picture","2018-03-04","The Shape of Water","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Picture","2019-02-24","Green Book","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Picture","2020-02-09","Parasite","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Picture","2021-04-25","Nomadland","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Picture","2022-03-27","CODA","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Picture","2023-03-12","Everything Everywhere All at Once","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Picture","2024-03-10","Oppenheimer","https://www.oscars.org/oscars/ceremonies/2024"
